stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,level_id,platform_code
3723,48096028,IBARRA (LA MADALENA) (3723),,43.2047033736188,-3.1443900357943,3,,0,,Europe/Madrid,0,0,
3724,48096035,LIGUETI (3724),,43.2155017943935,-3.1354769021233,3,,0,,Europe/Madrid,1,0,
3762,48054019,EHU LABOA PLAZA (3762),,43.3303846556775,-2.96787972218074,2,,0,,Europe/Madrid,1,0,
3805,48084026,URBINAGA (METRO) (3805),,43.3065005865795,-2.99292496238127,2,,0,,Europe/Madrid,1,0,
3806,48084027,URBINAGA (METRO) (3806),,43.3067077208286,-2.99339841756187,2,,0,,Europe/Madrid,1,0,
3832,48020104,JUAN DE GARAY (TORRE URIZAR) (3832),,43.2512655260294,-2.9347916053379,1,,0,,Europe/Madrid,1,0,
3857,48088002,UBIDE (3857),,43.0251515616509,-2.68833420739696,5,,0,,Europe/Madrid,1,0,
3858,48075024,URIBIARTE (3858),,43.0697115903447,-2.92379889946584,4,,0,,Europe/Madrid,0,0,
3886,48072009,KOROSTONDO (3886),,43.0507559617471,-2.66095712431152,5,,0,,Europe/Madrid,0,0,
3887,48072010,KOROSTONDO (3887),,43.0508185955031,-2.66082171262135,5,,0,,Europe/Madrid,0,0,
3888,48026012,LAPURREKETA (3888),,43.067155047727,-2.67677176893789,3,,0,,Europe/Madrid,0,0,
3889,48072004,OSPITAL KALEA (3889),,43.040141407388,-2.65279033481771,5,,0,,Europe/Madrid,1,0,
3890,48024005,ZUBIZABAL (3890),,43.0514404464934,-2.6978320961238,4,,0,,Europe/Madrid,0,0,
3891,48026013,LAPURREKETA (3891),,43.066776497437,-2.67665093814009,3,,0,,Europe/Madrid,1,0,
3892,48072003,OSPITAL KALEA (3892),,43.0399800648697,-2.65303689990697,5,,0,,Europe/Madrid,0,0,
3893,48024006,ZUBIZABAL (3893),,43.0513052629987,-2.69779101153079,4,,0,,Europe/Madrid,0,0,
3904,48053028,UNBE-MENDI 91 (3904),,43.3365587521226,-2.92327533842493,3,,0,,Europe/Madrid,1,0,
3905,48053029,UNBE-MENDI 55 (3905),,43.3386201945864,-2.92238450461559,3,,0,,Europe/Madrid,1,0,
3906,48053030,UNBE-MENDI 50 (3906),,43.3391228259461,-2.9200275462448,3,,0,,Europe/Madrid,1,0,
3907,48053033,UNBE-MENDI 8 (3907),,43.3366308050766,-2.92329992018753,3,,0,,Europe/Madrid,1,0,
3908,48053032,UNBE-MENDI  17 (3908),,43.3386922811707,-2.92245843273825,3,,0,,Europe/Madrid,1,0,
3909,48053031,UNBE-MENDI 24 (3909),,43.3392219017377,-2.92006430313834,3,,0,,Europe/Madrid,1,0,
3911,48901030,NEKAZARITZA ESKOLA/ESCUELA AGRARIA (3911),,43.293381767081,-2.87288639730418,2,,0,,Europe/Madrid,1,0,
3912,48901032,NEKAZARITZA ESKOLA/ESCUELA AGRARIA (3912),,43.2938935837903,-2.87159093367224,2,,0,,Europe/Madrid,1,0,
3914,48018012,BEKOKALE (3914),,43.3115125462534,-2.46426094587141,5,,0,,Europe/Madrid,0,0,
3915,48018011,BEKOKALE (3915),,43.3120305703276,-2.46335621571945,5,,0,,Europe/Madrid,0,0,
